epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,distill/alpha,distill/temperature,distill/kd_loss
1,3.75971,1.28077,1.75639,1.33692,0.6544,0.53034,0.60965,0.45351,1.08845,1.10638,1.12683,8.33e-06,8.33e-06,8.33e-06,0.45,6.000227,0.0
2,7.1848,1.3007,1.55409,1.31163,0.6886,0.53504,0.62606,0.46843,1.08248,1.0701,1.12239,1.62078e-05,1.62078e-05,1.62078e-05,0.45,6.000227,0.0
3,10.6266,1.28012,1.53181,1.29019,0.67604,0.57171,0.63856,0.47794,1.07577,1.05047,1.1177,2.23339e-05,2.23339e-05,2.23339e-05,0.45,6.000227,0.0
4,14.1981,1.18666,1.41979,1.25331,0.69248,0.58716,0.65585,0.49356,1.06741,1.03313,1.11371,2.67084e-05,2.67084e-05,2.67084e-05,0.45,6.000227,0.0
5,17.6918,1.29909,1.46213,1.32076,0.69505,0.60685,0.67243,0.50389,1.05965,1.01703,1.10829,2.93311e-05,2.93311e-05,2.93311e-05,0.45,6.000227,0.0
6,22.8652,1.23759,1.45094,1.26996,0.72544,0.61076,0.68052,0.51092,1.05095,1.00129,1.10351,3.02022e-05,3.02022e-05,3.02022e-05,0.45,4.000326,16.089894
7,28.2345,1.21713,1.38911,1.26725,0.72855,0.61699,0.68942,0.51661,1.0433,0.98478,1.09998,2.93216e-05,2.93216e-05,2.93216e-05,0.45,3.382323,8.236492
8,33.6051,1.18948,1.3459,1.2258,0.74007,0.62302,0.69483,0.52135,1.03963,0.96471,1.0984,2.66893e-05,2.66893e-05,2.66893e-05,0.450393,2.824814,6.283082
9,38.5397,1.18359,1.42226,1.22419,0.73734,0.6376,0.70036,0.52532,1.03409,0.9493,1.09534,2.23054e-05,2.23054e-05,2.23054e-05,0.450654,2.382372,4.879632
10,43.4783,1.15325,1.29782,1.16878,0.74766,0.6392,0.70229,0.52518,1.03262,0.94632,1.09268,1.61697e-05,1.61697e-05,1.61697e-05,0.451025,2.098307,3.867606
